country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Lithuania,LTU,2020-12-31,9747,9747,,25,1832,0.36,0.36,,673,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-01,,,,,1491,,,,548,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-02,,,,,1263,,,,464,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-03,,,,,1100,,,,404,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-04,,,,,720,,,,264,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-05,10369,10369,,,311,0.38,0.38,,114,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-06,13866,13866,,3497,592,0.51,0.51,,217,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-07,18014,18014,,4148,1181,0.66,0.66,,434,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-08,23174,23174,,5160,1900,0.85,0.85,,698,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-09,23478,23478,,304,1926,0.86,0.86,,707,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-10,23481,23481,,3,1909,0.86,0.86,,701,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-11,25686,25686,,2205,2206,0.94,0.94,,810,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-12,27768,27768,,2082,2486,1.02,1.02,,913,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-13,33852,33852,,6084,2855,1.24,1.24,,1049,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-14,42454,42454,,8602,3491,1.56,1.56,,1282,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-15,49681,49681,,7227,3787,1.82,1.82,,1391,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-16,50770,50770,,1089,3899,1.86,1.86,,1432,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-17,51900,50812,1088,1130,4060,1.91,1.87,0.04,1491,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-18,56398,53639,2759,4498,4387,2.07,1.97,0.1,1612,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-19,62665,55999,6666,6267,4985,2.3,2.06,0.24,1831,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-20,66131,57634,8497,3466,4611,2.43,2.12,0.31,1694,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-21,67616,58499,9117,1485,3595,2.48,2.15,0.33,1321,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-22,67903,58776,9127,287,2603,2.49,2.16,0.34,956,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-23,67911,58784,9127,8,2449,2.49,2.16,0.34,900,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-24,,,,,2290,,,,841,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-25,67948,58821,9127,,1650,2.5,2.16,0.34,606,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-26,71036,61283,9753,3088,1196,2.61,2.25,0.36,439,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-27,77808,65108,12700,6772,1668,2.86,2.39,0.47,613,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-28,84555,68463,16092,6747,2420,3.11,2.51,0.59,889,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-29,92417,71384,21033,7862,3502,3.39,2.62,0.77,1286,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-30,93020,71577,21443,603,3587,3.42,2.63,0.79,1318,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-01-31,93028,71585,21443,8,3586,3.42,2.63,0.79,1317,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Lithuania,LTU,2021-02-01,95776,72604,23172,2748,3975,3.52,2.67,0.85,1460,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,2020-12-30,1200,1200,,,,0.19,0.19,,,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2020-12-31,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-01,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-02,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-03,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-04,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-05,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-06,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-07,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-08,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-09,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-10,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-11,1943,1943,,,62,0.31,0.31,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-12,2372,2372,,429,114,0.38,0.38,,182,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-13,2871,2871,,499,177,0.46,0.46,,283,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-14,3233,3233,,362,220,0.52,0.52,,351,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-15,,,,,236,,,,377,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-16,,,,,252,,,,403,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-17,3755,3755,,,268,0.6,0.6,,428,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-18,4569,4569,,814,375,0.73,0.73,,599,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-19,5294,5294,,725,417,0.85,0.85,,666,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-20,6193,6193,,899,475,0.99,0.99,,759,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-21,6897,6897,,704,523,1.1,1.1,,835,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-22,,,,,558,,,,891,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-23,,,,,592,,,,946,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-24,,,,,626,,,,1000,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-25,8554,7309,1245,,569,1.37,1.17,0.2,909,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-26,9525,8280,1245,971,604,1.52,1.32,0.2,965,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-27,10449,9107,1342,924,608,1.67,1.45,0.21,971,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-28,11373,9890,1483,924,639,1.82,1.58,0.24,1021,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-29,,,,,630,,,,1006,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-30,,,,,622,,,,994,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Luxembourg,LUX,2021-01-31,12428,10748,1680,,613,1.99,1.72,0.27,979,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783
Malta,MLT,2020-12-28,130,,,,,0.03,,,,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2020-12-29,,,,,259,,,,587,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2020-12-30,,,,,259,,,,587,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2020-12-31,,,,,259,,,,587,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-01,,,,,259,,,,587,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-02,,,,,259,,,,587,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-03,,,,,259,,,,587,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-04,1940,,,,259,0.44,,,587,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-05,,,,,281,,,,636,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-06,,,,,304,,,,689,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-07,,,,,327,,,,741,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-08,,,,,350,,,,793,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-09,,,,,373,,,,845,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-10,,,,,396,,,,897,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-11,4870,,,,419,1.1,,,949,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-12,,,,,524,,,,1187,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-13,,,,,629,,,,1425,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-14,,,,,735,,,,1665,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-15,9496,,,,840,2.15,,,1902,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-16,,,,,938,,,,2124,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-17,11705,,,,1036,2.65,,,2346,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-18,13002,,,1297,1162,2.94,,,2632,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-19,14276,,,1274,1178,3.23,,,2668,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-20,15316,,,1040,1162,3.47,,,2632,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-21,16531,,,1215,1170,3.74,,,2650,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-22,17767,,,1236,1182,4.02,,,2677,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-23,18930,,,1163,1190,4.29,,,2695,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-24,19981,18783,1198,1051,1182,4.53,4.25,0.27,2677,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-25,21172,19709,1463,1191,1167,4.8,4.46,0.33,2643,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-26,22371,20677,1694,1199,1156,5.07,4.68,0.38,2618,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-27,23512,21417,2095,1141,1171,5.33,4.85,0.47,2652,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-28,24680,22162,2518,1168,1164,5.59,5.02,0.57,2636,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-29,25822,22853,2969,1142,1151,5.85,5.18,0.67,2607,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-30,26847,23391,3456,1025,1131,6.08,5.3,0.78,2561,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Malta,MLT,2021-01-31,27759,23811,3948,912,1111,6.29,5.39,0.89,2516,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Mexico,MEX,2020-12-24,2924,2924,,,,0,0,,,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2020-12-25,,,,,1300,,,,10,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2020-12-26,,,,,1300,,,,10,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2020-12-27,6824,6824,,,1300,0.01,0.01,,10,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2020-12-28,9579,9579,,2755,1664,0.01,0.01,,13,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2020-12-29,18529,18529,,8950,3121,0.01,0.01,,24,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2020-12-30,24998,24998,,6469,3679,0.02,0.02,,29,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2020-12-31,,,,,3695,,,,29,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-01,,,,,4051,,,,31,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-02,,,,,4407,,,,34,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-03,,,,,4763,,,,37,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-04,43960,43960,,,4912,0.03,0.03,,38,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-05,48236,48236,,4276,4244,0.04,0.04,,33,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-06,53185,53185,,4949,4027,0.04,0.04,,31,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-07,58402,58402,,5217,4230,0.05,0.05,,33,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-08,67468,67468,,9066,4984,0.05,0.05,,39,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-09,74794,74794,,7326,5488,0.06,0.06,,43,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-10,81300,81300,,6506,5876,0.06,0.06,,46,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-11,87060,87060,,5760,6157,0.07,0.07,,48,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-12,92879,92879,,5819,6378,0.07,0.07,,49,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-13,192567,192567,,99688,19912,0.15,0.15,,154,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-14,329983,329983,,137416,38797,0.26,0.26,,301,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
Mexico,MEX,2021-01-15,417375,415417,1958,87392,49987,0.32,0.32,0,388,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/044-al-menos-1-6-millones-de-vacunas-astrazeneca-llegaran-a-mexico-este-mes-via-covax?idiom=es
